"No.","Time","Source","Destination","Protocol","Length","Info"
"1","08:07:26.856028","Slave","Master","LE LL","26","Empty PDU"
"2","08:07:26.857025","Master","Slave","LE LL","26","Empty PDU"
"3","08:07:26.857025","Slave","Master","LE LL","26","Empty PDU"
"4","08:07:26.858022","Master","Slave","LE LL","26","Empty PDU"
"5","08:07:26.859040","Slave","Master","LE LL","26","Empty PDU"
"6","08:07:26.860018","Master","Slave","LE LL","26","Empty PDU"
"7","08:07:26.860018","Slave","Master","LE LL","26","Empty PDU"
"8","08:07:26.861014","Master","Slave","LE LL","26","Empty PDU"
"9","08:07:26.862012","Slave","Master","LE LL","26","Empty PDU"
"10","08:07:26.863009","Master","Slave","LE LL","26","Empty PDU"
"11","08:07:26.863009","Slave","Master","LE LL","26","Empty PDU"
"12","08:07:26.864006","Master","Slave","LE LL","26","Empty PDU"
"13","08:07:26.865004","Slave","Master","LE LL","26","Empty PDU"
"14","08:07:26.865004","Master","Slave","LE LL","26","Empty PDU"
"15","08:07:26.866001","Slave","Master","LE LL","26","Empty PDU"
"16","08:07:26.866998","Master","Slave","LE LL","26","Empty PDU"
"17","08:07:26.867996","Slave","Master","LE LL","26","Empty PDU"
"18","08:07:26.867996","Master","Slave","LE LL","26","Empty PDU"
"19","08:07:26.868993","Slave","Master","LE LL","26","Empty PDU"
"20","08:07:26.870011","Master","Slave","LE LL","26","Empty PDU"
"21","08:07:26.870988","Slave","Master","LE LL","26","Empty PDU"
"22","08:07:26.870988","Master","Slave","LE LL","26","Empty PDU"
"23","08:07:26.871985","Slave","Master","LE LL","26","Empty PDU"
"24","08:07:26.872982","Master","Slave","LE LL","26","Empty PDU"
"25","08:07:26.873981","Slave","Master","LE LL","26","Empty PDU"
"26","08:07:26.874977","Master","Slave","LE LL","26","Empty PDU"
"27","08:07:26.874977","Slave","Master","LE LL","26","Empty PDU"
"28","08:07:26.875974","Master","Slave","LE LL","26","Empty PDU"
"29","08:07:26.876971","Slave","Master","LE LL","26","Empty PDU"
"30","08:07:26.877969","Master","Slave","LE LL","26","Empty PDU"
"31","08:07:26.878966","Slave","Master","LE LL","26","Empty PDU"
"32","08:07:26.878966","Master","Slave","LE LL","26","Empty PDU"
"33","08:07:26.879964","Slave","Master","LE LL","26","Empty PDU"
"34","08:07:26.880961","Master","Slave","LE LL","26","Empty PDU"
"35","08:07:26.880961","Slave","Master","LE LL","26","Empty PDU"
"36","08:07:26.881958","Master","Slave","LE LL","26","Empty PDU"
"37","08:07:26.882957","Slave","Master","LE LL","26","Empty PDU"
"38","08:07:26.883953","Master","Slave","LE LL","26","Empty PDU"
"39","08:07:26.883953","Slave","Master","LE LL","26","Empty PDU"
"40","08:07:26.884950","Master","Slave","LE LL","26","Empty PDU"
"41","08:07:26.885966","Slave","Master","LE LL","26","Empty PDU"
"42","08:07:26.885966","Master","Slave","LE LL","26","Empty PDU"
"43","08:07:26.886945","Slave","Master","LE LL","26","Empty PDU"
"44","08:07:26.887942","Master","Slave","LE LL","26","Empty PDU"
"45","08:07:26.888940","Slave","Master","LE LL","26","Empty PDU"
"46","08:07:26.888940","Master","Slave","LE LL","26","Empty PDU"
"47","08:07:26.889937","Slave","Master","LE LL","26","Empty PDU"
"48","08:07:26.889937","Master","Slave","LE LL","26","Empty PDU"
"49","08:07:26.890934","Slave","Master","LE LL","26","Empty PDU"
"50","08:07:26.890934","Master","Slave","LE LL","26","Empty PDU"
"51","08:07:26.891932","Slave","Master","LE LL","26","Empty PDU"
"52","08:07:26.892929","Master","Slave","LE LL","26","Empty PDU"
"53","08:07:26.892929","Slave","Master","LE LL","26","Empty PDU"
"54","08:07:26.893929","Master","Slave","LE LL","26","Empty PDU"
"55","08:07:26.894923","Slave","Master","LE LL","26","Empty PDU"
"56","08:07:26.894923","Master","Slave","LE LL","26","Empty PDU"
"57","08:07:26.895921","Slave","Master","LE LL","26","Empty PDU"
"58","08:07:26.895921","Master","Slave","LE LL","26","Empty PDU"
"59","08:07:26.896918","Slave","Master","LE LL","26","Empty PDU"
"60","08:07:26.896918","Master","Slave","LE LL","26","Empty PDU"
"61","08:07:26.897915","Slave","Master","LE LL","26","Empty PDU"
"62","08:07:26.898913","Master","Slave","LE LL","34","Control Opcode: LL_CHANNEL_MAP_REQ"
"63","08:07:26.898913","Slave","Master","LE LL","26","Empty PDU"
"64","08:07:26.899910","Master","Slave","LE LL","26","Empty PDU"
"65","08:07:26.899910","Slave","Master","LE LL","26","Empty PDU"
"66","08:07:26.900907","Master","Slave","LE LL","26","Empty PDU"
"67","08:07:26.901905","Slave","Master","LE LL","26","Empty PDU"
"68","08:07:26.901905","Master","Slave","LE LL","26","Empty PDU"
"69","08:07:26.902918","Slave","Master","LE LL","26","Empty PDU"
"70","08:07:26.902918","Master","Slave","LE LL","26","Empty PDU"
"71","08:07:26.903899","Slave","Master","LE LL","26","Empty PDU"
"72","08:07:26.904897","Master","Slave","LE LL","26","Empty PDU"
