"No.","Time","Source","Destination","Protocol","Length","Info"
"1","08:02:13.057883","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"2","08:02:13.058880","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"3","08:02:13.059877","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"4","08:02:13.060874","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"5","08:02:13.061872","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"6","08:02:13.062868","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"7","08:02:13.063865","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"8","08:02:13.064862","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"9","08:02:13.065861","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"10","08:02:13.066857","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"11","08:02:13.067854","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"12","08:02:13.068853","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"13","08:02:13.069850","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"14","08:02:13.070848","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"15","08:02:13.071845","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"16","08:02:13.072844","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"17","08:02:13.073840","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"18","08:02:13.074837","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"19","08:02:13.075834","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"20","08:02:13.076851","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"21","08:02:13.077829","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"22","08:02:13.078826","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"23","08:02:13.079827","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"24","08:02:13.080821","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"25","08:02:13.081818","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"26","08:02:13.082815","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"27","08:02:13.083812","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"28","08:02:13.083812","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"29","08:02:13.084810","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"30","08:02:13.085807","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"31","08:02:13.086846","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"32","08:02:13.087841","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"33","08:02:13.088843","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"34","08:02:13.088843","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"35","08:02:13.089836","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"36","08:02:13.090834","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"37","08:02:13.091859","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"38","08:02:13.092829","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"39","08:02:13.093827","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"40","08:02:13.093827","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"41","08:02:13.094823","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"42","08:02:13.095822","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"43","08:02:13.096777","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"44","08:02:13.097818","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"45","08:02:13.098814","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"46","08:02:13.099810","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"47","08:02:13.099810","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"48","08:02:13.100807","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"49","08:02:13.101805","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"50","08:02:13.102803","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"51","08:02:13.103799","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"52","08:02:13.104798","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"53","08:02:13.104798","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"54","08:02:13.105794","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"55","08:02:13.106791","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"56","08:02:13.107810","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"57","08:02:13.108786","56:5d:c5:9f:aa:70","6e:fa:91:90:a4:78","LE LL","38","SCAN_REQ"
"58","08:02:13.108786","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"59","08:02:13.109784","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"60","08:02:13.110782","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"61","08:02:13.111802","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"62","08:02:13.112777","74:24:a8:14:59:5a","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"63","08:02:13.112777","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"64","08:02:13.113772","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"65","08:02:13.114772","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"66","08:02:13.115767","64:5d:14:5e:74:e4","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"67","08:02:13.116764","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"68","08:02:13.117762","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"69","08:02:13.117762","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"70","08:02:13.118758","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"71","08:02:13.119765","7b:42:c0:16:63:a0","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"72","08:02:13.120778","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
"73","08:02:13.121751","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"74","08:02:13.122761","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"75","08:02:13.123745","Wisol_81:54:78","Broadcast","LE LL","58","ADV_IND"
"76","08:02:13.123745","7b:42:c0:16:63:a0","Wisol_81:54:78","LE LL","38","SCAN_REQ"
"77","08:02:13.124742","Wisol_81:54:78","Broadcast","LE LL","57","SCAN_RSP"
