"Time","Source","Destination","Duration"
"2020-09-20 15:43:47.148378","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.047936"
"2020-09-20 15:43:47.200308","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003995"
"2020-09-20 15:43:47.244234","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.043926"
"2020-09-20 15:43:47.296180","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003948"
"2020-09-20 15:43:47.341341","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.045161"
"2020-09-20 15:43:47.394326","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003995"
"2020-09-20 15:43:47.438267","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.043941"
"2020-09-20 15:43:47.491660","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.499606","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007946"
"2020-09-20 15:43:47.507620","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.511618","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003998"
"2020-09-20 15:43:47.523574","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003965"
"2020-09-20 15:43:47.527568","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003994"
"2020-09-20 15:43:47.535660","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.543642","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007982"
"2020-09-20 15:43:47.551538","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.559767","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.008229"
"2020-09-20 15:43:47.567754","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.575510","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007756"
"2020-09-20 15:43:47.583504","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.591487","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007983"
"2020-09-20 15:43:47.603484","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003994"
"2020-09-20 15:43:47.607479","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003995"
"2020-09-20 15:43:47.615470","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003946"
"2020-09-20 15:43:47.619463","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003993"
"2020-09-20 15:43:47.631482","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003425"
"2020-09-20 15:43:47.635473","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003991"
"2020-09-20 15:43:47.643779","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.647420","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.003641"
"2020-09-20 15:43:47.659400","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.667394","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007994"
"2020-09-20 15:43:47.675383","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003519"
"2020-09-20 15:43:47.679720","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.004337"
"2020-09-20 15:43:47.687720","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.000000"
"2020-09-20 15:43:47.695709","Master_0xaf9a8c6b","Slave_0xaf9a8c6b","0.007989"
"2020-09-20 15:43:47.707373","Slave_0xaf9a8c6b","Master_0xaf9a8c6b","0.003678"
