"No.","Time","Source","Destination","Protocol","Length","Info"
"14","07:29:48.396150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"16","07:29:48.408688","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"17","07:29:48.413029","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=81 Ack=48 Win=27 Len=0 TSval=748990750 TSecr=139778"
"83","07:29:51.081044","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","151","Application Data"
"86","07:29:51.104069","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"88","07:29:51.108494","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=166 Ack=95 Win=27 Len=0 TSval=748993446 TSecr=140048"
"111","07:29:51.396599","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"113","07:29:51.407609","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"114","07:29:51.411984","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=242 Ack=142 Win=27 Len=0 TSval=748993749 TSecr=140079"
"186","07:29:54.081531","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","162","Application Data"
"189","07:29:54.150839","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"190","07:29:54.155208","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=338 Ack=189 Win=27 Len=0 TSval=748996492 TSecr=140352"
"193","07:29:54.396698","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"221","07:29:54.473629","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"222","07:29:54.477795","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=419 Ack=236 Win=27 Len=0 TSval=748996815 TSecr=140385"
"273","07:29:55.571172","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","329","Application Data"
"274","07:29:55.584312","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"275","07:29:55.588636","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=682 Ack=283 Win=27 Len=0 TSval=748997926 TSecr=140497"
"279","07:29:56.183075","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","469","Application Data"
"280","07:29:56.187286","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=682 Ack=686 Win=27 Len=0 TSval=748998524 TSecr=140557"
"281","07:29:56.188817","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"285","07:29:56.232311","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=686 Ack=729 Win=5215 Len=0 TSval=140562 TSecr=748998526"
"344","07:29:57.083583","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","159","Application Data"
"345","07:29:57.086251","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=686 Ack=822 Win=5215 Len=0 TSval=140647 TSecr=748999419"
"348","07:29:57.132377","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"349","07:29:57.181414","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=822 Ack=733 Win=27 Len=0 TSval=748999518 TSecr=140652"
"577","07:30:00.081810","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","143","Application Data"
"578","07:30:00.084235","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=733 Ack=899 Win=5215 Len=0 TSval=140947 TSecr=749002419"
"580","07:30:00.093372","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"581","07:30:00.097761","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=899 Ack=780 Win=27 Len=0 TSval=749002435 TSecr=140948"
"583","07:30:00.123680","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","259","Application Data"
"584","07:30:00.127924","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=899 Ack=973 Win=27 Len=0 TSval=749002465 TSecr=140951"
"665","07:30:01.023154","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","128","Application Data"
"674","07:30:01.225659","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"675","07:30:01.230019","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=961 Ack=1020 Win=27 Len=0 TSval=749003567 TSecr=141061"
"880","07:30:03.082191","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","146","Application Data"
"889","07:30:03.148186","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"890","07:30:03.152603","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1041 Ack=1067 Win=27 Len=0 TSval=749005489 TSecr=141253"
"1040","07:30:04.293703","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","[TCP Keep-Alive] https(443)  >  33900 [ACK] Seq=1040 Ack=1067 Win=27 Len=0 TSval=749006630 TSecr=141253"
"1041","07:30:04.296161","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","[TCP Keep-Alive ACK] 33900  >  https(443) [ACK] Seq=1067 Ack=1041 Win=5215 Len=0 TSval=141368 TSecr=749005489"
"1058","07:30:04.799690","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","122","Application Data"
"1059","07:30:04.803902","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1041 Ack=1123 Win=27 Len=0 TSval=749007141 TSecr=141419"
"1060","07:30:04.805867","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"1071","07:30:04.858335","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=1123 Ack=1088 Win=5215 Len=0 TSval=141425 TSecr=749007143"
"1356","07:30:06.082701","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","142","Application Data"
"1357","07:30:06.149607","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=1123 Ack=1164 Win=5215 Len=0 TSval=141553 TSecr=749008419"
"1359","07:30:06.149877","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"1362","07:30:06.205376","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1164 Ack=1170 Win=27 Len=0 TSval=749008542 TSecr=141553"
"1495","07:30:07.418197","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","151","Application Data"
"1497","07:30:07.588728","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"1498","07:30:07.593289","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1249 Ack=1217 Win=27 Len=0 TSval=749009930 TSecr=141697"
"1623","07:30:08.128437","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","335","Application Data"
"1626","07:30:08.195765","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"1627","07:30:08.200045","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1518 Ack=1264 Win=27 Len=0 TSval=749010537 TSecr=141758"
"1633","07:30:08.324907","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","466","Application Data"
"1634","07:30:08.329437","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1518 Ack=1664 Win=27 Len=0 TSval=749010666 TSecr=141771"
"1635","07:30:08.330666","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"1637","07:30:08.376434","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=1664 Ack=1565 Win=5215 Len=0 TSval=141777 TSecr=749010667"
"1755","07:30:09.082817","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","147","Application Data"
"1808","07:30:09.091839","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=1664 Ack=1646 Win=5215 Len=0 TSval=141848 TSecr=749011420"
"1812","07:30:09.098655","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","113","Application Data"
"1819","07:30:09.145297","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1646 Ack=1711 Win=27 Len=0 TSval=749011482 TSecr=141848"
"2011","07:30:10.273060","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TLSv1.2","472","Application Data"
"2012","07:30:10.277685","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TCP","66","https(443)  >  33900 [ACK] Seq=1646 Ack=2117 Win=27 Len=0 TSval=749012614 TSecr=141966"
"2013","07:30:10.278974","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","113","Application Data"
"2026","07:30:10.326153","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=2117 Ack=1693 Win=5215 Len=0 TSval=141972 TSecr=749012616"
"2059","07:30:10.418637","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","166.104.142.150","TLSv1.2","162","Application Data"
"2060","07:30:10.421451","166.104.142.150","ec2-52-78-59-78.ap-northeast-2.compute.amazonaws.com","TCP","66","33900  >  https(443) [ACK] Seq=2117 Ack=1789 Win=5215 Len=0 TSval=141981 TSecr=749012755"
