"No.","Time","Source","Destination","Protocol","Length","Info"
"1","06:06:15.098009","fe80::2a6d:97ff:feb0:c7bd","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"2","06:06:15.120259","fe80::2a6d:97ff:feb0:c7bd","ff02::1:2","DHCPv6","112","Solicit XID: 0x123d79 CID: 0001000126d0c827286d97b0c7bd "
"3","06:06:15.134000","166.104.142.175","166.104.142.255","UDP","305","54915  >  54915 Len=263"
"4","06:06:15.161369","::","ff02::2","ICMPv6","62","Router Solicitation"
"5","06:06:15.162312","fe80::ba27:ebff:fecf:389c","ff02::1","ICMPv6","118","Router Advertisement from b8:27:eb:cf:38:9c"
"6","06:06:15.175457","Netgear_99:86:0a","Spanning-tree-(for-bridges)_00","STP","60","RST. Root = 32768/0/00:12:a9:c4:e5:20  Cost = 20008  Port = 0x800f"
"7","06:06:15.177184","fe80::6249:7e54:b0df:9bd3","ff02::16","ICMPv6","330","Multicast Listener Report Message v2"
"8","06:06:15.187448","fe80::2a6d:97ff:feb0:c7bd","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"9","06:06:15.272971","166.104.142.105","224.0.0.251","MDNS","81","Standard query 0x0000 A BRW606DC7693104.local, ""QM"" question"
"10","06:06:15.273119","fe80::7516:bfa9:c26e:8b78","ff02::fb","MDNS","101","Standard query 0x0000 A BRW606DC7693104.local, ""QM"" question"
"11","06:06:15.388722","fe80::2a6d:97ff:feb0:c7bd","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"12","06:06:15.512744","fe80::6249:7e54:b0df:9bd3","ff02::16","ICMPv6","330","Multicast Listener Report Message v2"
"13","06:06:15.562344","fe80::2a6d:97ff:feb0:c7bd","ff02::1:2","DHCPv6","112","Solicit XID: 0xf9f7a0 CID: 0001000126d0c827286d97b0c7bd "
"14","06:06:15.585915","fe80::ec4:7aff:fe07:4472","fe80::ba27:ebff:fecf:389c","ICMPv6","86","Neighbor Solicitation for fe80::ba27:ebff:fecf:389c from 0c:c4:7a:07:44:72"
"15","06:06:15.586037","fe80::ba27:ebff:fecf:389c","fe80::ec4:7aff:fe07:4472","ICMPv6","78","Neighbor Advertisement fe80::ba27:ebff:fecf:389c (rtr, sol)"
"16","06:06:15.745465","::","ff02::2","ICMPv6","62","Router Solicitation"
"17","06:06:15.746296","fe80::ba27:ebff:fecf:389c","ff02::1","ICMPv6","118","Router Advertisement from b8:27:eb:cf:38:9c"
"18","06:06:15.772449","fe80::2a6d:97ff:feb0:c7bd","ff02::16","ICMPv6","90","Multicast Listener Report Message v2"
"19","06:06:15.773407","166.104.142.105","166.104.142.255","NBNS","92","Name query NB BRW606DC7693104<00>"
