"Time","Source","Destination","Duration"
"06:06:18.547256","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.040176"
"06:06:18.571025","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.023769"
"06:06:19.408301","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.008522"
"06:06:19.411674","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.003373"
"06:06:19.725552","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.022727"
"06:06:19.743488","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.013077"
"06:06:19.748189","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.004701"
"06:06:19.794946","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.046757"
"06:06:19.940963","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.015778"
"06:06:19.956342","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.015379"
"06:06:19.959556","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003214"
"06:06:19.960031","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000475"
"06:06:19.989780","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.006383"
"06:06:20.013045","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.023265"
"06:06:20.021016","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.007971"
"06:06:20.024917","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.003901"
"06:06:23.942355","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.118406"
"06:06:23.946705","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.004350"
"06:06:24.285031","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.010404"
"06:06:24.382716","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.033378"
"06:06:24.399601","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.001641"
"06:06:24.443077","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.001330"
"06:06:24.492971","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.049894"
"06:06:24.769370","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.007348"
"06:06:25.057282","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","0.287912"
"06:06:25.129733","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.063077"
"06:06:25.132987","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.003254"
"06:06:25.133460","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","0.000473"
"06:06:25.185208","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","0.048845"
"06:06:25.467102","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.000356"
"06:06:25.467127","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.000025"
"06:06:25.486294","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","0.019167"
"06:06:25.557707","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.008424"
"06:06:25.589473","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.003221"
"06:06:25.593629","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.004156"
"06:06:25.611688","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.010056"
"06:06:25.647501","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.035813"
"06:06:25.647505","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.000004"
"06:06:25.647510","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.000005"
"06:06:25.647513","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.000003"
"06:06:25.647515","ejp-breeziest-in.cloudapp.net","166.104.142.119","0.000002"
"06:06:25.673107","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.025592"
"06:06:25.673283","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.000176"
"06:06:25.673433","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.000150"
"06:06:25.673590","166.104.142.119","ejp-breeziest-in.cloudapp.net","0.000157"
