"No.","Time","Source","Destination","Protocol","Length","Info"
"1","07:20:16.725000","0x90f7","Broadcast","ZigBee","48","Command, Dst: Broadcast, Src: 0x90f7"
"2","07:20:17.669199","","Broadcast","IEEE 802.15.4","8","Beacon Request"
"3","07:20:17.672850","0x90f7","","ZigBee","26","Beacon, Src: 0x90f7, EPID: 81:c5:67:07:37:9e:7e:0e"
"4","07:20:19.002697","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"5","07:20:19.055277","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"6","07:20:19.447237","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"7","07:20:19.896390","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"8","07:20:23.330947","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"9","07:20:23.383511","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"10","07:20:23.655725","0x0000","Broadcast","ZigBee","49","Command, Dst: Broadcast, Src: 0x0000"
"11","07:20:23.718226","0x0000","Broadcast","ZigBee","41","Command, Dst: Broadcast, Src: 0x0000"
"12","07:20:23.785354","0x0000","Broadcast","ZigBee","46","Data, Dst: Broadcast, Src: 0x0000"
"13","07:20:23.972353","0x0000","Broadcast","ZigBee","49","Command, Dst: Broadcast, Src: 0x0000"
"14","07:20:24.248192","0x0000","Broadcast","ZigBee","49","Command, Dst: Broadcast, Src: 0x0000"
"15","07:20:24.538246","0x0000","Broadcast","ZigBee","49","Command, Dst: Broadcast, Src: 0x0000"
"16","07:20:27.684956","0x0000","Broadcast","ZigBee","48","Command, Dst: Broadcast, Src: 0x0000"
"17","07:20:43.490668","0x0000","Broadcast","ZigBee","48","Command, Dst: Broadcast, Src: 0x0000"
"18","07:20:44.433321","0x0000","0x90f7","ZigBee","45","Data, Dst: 0x90f7, Src: 0x0000"
"19","07:20:44.433869","","","IEEE 802.15.4","3","Ack"
"20","07:20:44.459885","0x90f7","0x0000","ZigBee","53","Command, Dst: 0x0000, Src: 0x90f7"
"21","07:20:44.460429","","","IEEE 802.15.4","3","Ack"
"22","07:20:44.507569","0x90f7","0x0000","ZigBee","53","Command, Dst: 0x0000, Src: 0x90f7"
"23","07:20:44.508112","","","IEEE 802.15.4","3","Ack"
"24","07:20:44.553012","0x90f7","0x0000","ZigBee","43","Data, Dst: 0x0000, Src: 0x90f7"
"25","07:20:44.553556","","","IEEE 802.15.4","3","Ack"
