"Time","Source","Destination","Info"
"06:06:18.547256","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=1 Ack=1 Win=42 Len=0 TSval=66039484 TSecr=118912"
"06:06:18.571025","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","[TCP ACKed unseen segment] 37390  >  https(443) [ACK] Seq=1 Ack=2 Win=3514 Len=0 TSval=119451 TSecr=66034058"
"06:06:19.408301","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:19.411674","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=1 Ack=124 Win=313 Len=0 TSval=3599060468 TSecr=1896007165"
"06:06:19.725552","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","[TCP Previous segment not captured] , Application Data"
"06:06:19.743488","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","[TCP ACKed unseen segment] 37390  >  https(443) [ACK] Seq=1 Ack=259 Win=3574 Len=0 TSval=119568 TSecr=66040662"
"06:06:19.748189","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:19.794946","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=259 Ack=48 Win=42 Len=0 TSval=66040732 TSecr=119569"
"06:06:19.940963","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:19.956342","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:19.959556","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=259 Ack=446 Win=42 Len=0 TSval=66040896 TSecr=119589"
"06:06:19.960031","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:19.989780","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=124 Ack=116 Win=1372 Len=0 TSval=1896007783 TSecr=3599060600"
"06:06:20.013045","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=446 Ack=306 Win=3574 Len=0 TSval=119595 TSecr=66040897"
"06:06:20.021016","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:20.024917","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=124 Ack=186 Win=1372 Len=0 TSval=1896007818 TSecr=3599060620"
"06:06:23.942355","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:23.946705","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=186 Ack=259 Win=321 Len=0 TSval=3599061602 TSecr=1896011732"
"06:06:24.285031","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:24.382716","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=446 Ack=569 Win=3633 Len=0 TSval=120032 TSecr=66045222"
"06:06:24.399601","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:24.443077","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=569 Ack=493 Win=42 Len=0 TSval=66045380 TSecr=120034"
"06:06:24.492971","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:24.769370","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","[TCP Retransmission] https(443)  >  35156 [PSH, ACK] Seq=186 Ack=259 Win=321 Len=122 TSval=3599061808 TSecr=1896011732"
"06:06:25.057282","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","[TCP Retransmission] https(443)  >  35156 [PSH, ACK] Seq=186 Ack=259 Win=321 Len=122 TSval=3599061880 TSecr=1896011732"
"06:06:25.129733","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:25.132987","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","https(443)  >  37390 [ACK] Seq=569 Ack=895 Win=42 Len=0 TSval=66046070 TSecr=120102"
"06:06:25.133460","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:25.185208","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=895 Ack=616 Win=3633 Len=0 TSval=120113 TSecr=66046070"
"06:06:25.467102","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=259 Ack=308 Win=1372 Len=0 TSval=1896013256 TSecr=3599061738"
"06:06:25.467127","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","[TCP Dup ACK 249#1] 35156  >  https(443) [ACK] Seq=259 Ack=308 Win=1372 Len=0 TSval=1896013256 TSecr=3599061808 SLE=186 SRE=308"
"06:06:25.486294","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","[TCP Dup ACK 249#2] 35156  >  https(443) [ACK] Seq=259 Ack=308 Win=1372 Len=0 TSval=1896013273 TSecr=3599061880 SLE=186 SRE=308"
"06:06:25.557707","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=4116569683 TSecr=0 WS=256"
"06:06:25.589473","ejp-breeziest-in.cloudapp.net","166.104.142.119","https(443)  >  38568 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1440 WS=256 SACK_PERM=1 TSval=479339513 TSecr=4116569683"
"06:06:25.593629","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=1 Ack=1 Win=87808 Len=0 TSval=4116569739 TSecr=479339513"
"06:06:25.611688","166.104.142.119","ejp-breeziest-in.cloudapp.net","Client Hello"
"06:06:25.647501","ejp-breeziest-in.cloudapp.net","166.104.142.119","https(443)  >  38568 [ACK] Seq=1 Ack=518 Win=263424 Len=1448 TSval=479339570 TSecr=4116569743 [TCP segment of a reassembled PDU]"
"06:06:25.647505","ejp-breeziest-in.cloudapp.net","166.104.142.119","https(443)  >  38568 [ACK] Seq=1449 Ack=518 Win=263424 Len=1448 TSval=479339570 TSecr=4116569743 [TCP segment of a reassembled PDU]"
"06:06:25.647510","ejp-breeziest-in.cloudapp.net","166.104.142.119","https(443)  >  38568 [ACK] Seq=2897 Ack=518 Win=263424 Len=1448 TSval=479339570 TSecr=4116569743 [TCP segment of a reassembled PDU]"
"06:06:25.647513","ejp-breeziest-in.cloudapp.net","166.104.142.119","https(443)  >  38568 [ACK] Seq=4345 Ack=518 Win=263424 Len=1448 TSval=479339570 TSecr=4116569743 [TCP segment of a reassembled PDU]"
"06:06:25.647515","ejp-breeziest-in.cloudapp.net","166.104.142.119","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"06:06:25.673107","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=518 Ack=1449 Win=90624 Len=0 TSval=4116569797 TSecr=479339570"
"06:06:25.673283","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=518 Ack=2897 Win=93440 Len=0 TSval=4116569797 TSecr=479339570"
"06:06:25.673433","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=518 Ack=4345 Win=96512 Len=0 TSval=4116569802 TSecr=479339570"
"06:06:25.673590","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=518 Ack=5793 Win=99328 Len=0 TSval=4116569802 TSecr=479339570"
"06:06:25.673618","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=518 Ack=7074 Win=102144 Len=0 TSval=4116569802 TSecr=479339570"
"06:06:25.681618","166.104.142.119","ejp-breeziest-in.cloudapp.net","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"06:06:25.715309","ejp-breeziest-in.cloudapp.net","166.104.142.119","Change Cipher Spec, Encrypted Handshake Message"
"06:06:25.720432","166.104.142.119","ejp-breeziest-in.cloudapp.net","Application Data"
"06:06:25.790454","ejp-breeziest-in.cloudapp.net","166.104.142.119","Application Data"
"06:06:25.848731","166.104.142.119","ejp-breeziest-in.cloudapp.net","38568  >  https(443) [ACK] Seq=1412 Ack=7626 Win=105216 Len=0 TSval=4116569980 TSecr=479339712"
"06:06:26.490255","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:26.493503","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","https(443)  >  35156 [ACK] Seq=308 Ack=392 Win=329 Len=0 TSval=3599062239 TSecr=1896014276"
"06:06:26.782263","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150","Application Data"
"06:06:26.981129","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","37390  >  https(443) [ACK] Seq=895 Ack=879 Win=3693 Len=0 TSval=120289 TSecr=66047719"
"06:06:26.981413","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","Application Data"
"06:06:26.986028","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","166.104.142.119","Application Data"
"06:06:27.008017","166.104.142.119","ec2-13-124-240-204.ap-northeast-2.compute.amazonaws.com","35156  >  https(443) [ACK] Seq=392 Ack=428 Win=1372 Len=0 TSval=1896014796 TSecr=3599062362"
