"Time","Source","Destination","Relative time"
"08:16:15.313958","166.104.142.164","211.246.104.17",""
"08:16:19.323005","166.104.142.164","211.246.104.17",""
"08:16:20.566130","166.104.142.164","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com",""
"08:16:20.569131","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com","166.104.142.164",""
"08:16:20.868148","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150",""
"08:16:21.044893","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:21.045064","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:21.080169","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com","166.104.142.164",""
"08:16:21.098082","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150",""
"08:16:21.146829","166.104.142.164","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com",""
"08:16:21.184393","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:21.188013","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150",""
"08:16:21.188215","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150",""
"08:16:21.232164","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:21.233586","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com","166.104.142.164",""
"08:16:21.236355","166.104.142.164","ec2-13-124-94-214.ap-northeast-2.compute.amazonaws.com",""
"08:16:22.515335","166.104.142.164","211.246.104.17",""
"08:16:23.223499","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:23.227300","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com","166.104.142.150",""
"08:16:23.229817","166.104.142.150","ec2-52-79-100-210.ap-northeast-2.compute.amazonaws.com",""
"08:16:23.507932","166.104.142.164","211.246.104.17",""
"08:16:25.512390","166.104.142.164","211.246.104.17",""
"08:16:29.522562","166.104.142.164","211.246.104.17",""
