"Time","Source","Destination","Relative time"
"08:12:48.424395","0x0000","0x330c",""
"08:12:48.457752","0x330c","0x0000",""
"08:12:48.527334","0x0000","0x330c",""
"08:12:48.619988","0x330c","0x0000",""
"08:12:48.670924","0x0000","0x330c",""
"08:12:48.701791","0x330c","0x0000",""
"08:12:51.014071","0x0000","0x330c",""
"08:12:51.059886","0x330c","0x0000",""
"08:12:53.015902","0x0000","0x330c",""
"08:12:53.061700","0x330c","0x0000",""
"08:12:55.032845","0x0000","0x330c",""
"08:12:55.078708","0x330c","0x0000",""
"08:12:57.087218","0x330c","0x0000",""
"08:12:57.195661","0x0000","0x330c",""
"08:12:57.259923","0x330c","0x0000",""
"08:12:59.026784","0x0000","0x330c",""
"08:12:59.091303","0x330c","0x0000",""
"08:13:01.197655","0x330c","0x0000",""
"08:13:01.239046","0x0000","0x330c",""
"08:13:01.284764","0x330c","0x0000",""
"08:13:03.166022","0x0000","0x330c",""
"08:13:03.207891","0x330c","0x0000",""
"08:13:07.249340","0x330c","0x0000",""
"08:13:07.325319","0x0000","0x330c",""
"08:14:23.451089","0x0000","0x330c",""
"08:14:23.566194","0x330c","0x0000",""
"08:14:23.610315","0x0000","0x330c",""
"08:14:23.656018","0x330c","0x0000",""
"08:14:26.321039","0x0000","0x330c",""
"08:14:26.366821","0x330c","0x0000",""
"08:14:26.389769","0x330c","0x0000",""
"08:14:26.407864","0x0000","0x330c",""
"08:14:26.469856","0x330c","0x0000",""
"08:15:09.736980","0x0000","0x330c",""
"08:15:09.803469","0x0000","0x330c",""
"08:15:09.828996","0x330c","0x0000",""
"08:15:09.874730","0x330c","0x0000",""
"08:15:11.736775","0x0000","0x330c",""
"08:15:11.782622","0x330c","0x0000",""
"08:16:20.596661","0x0000","0x330c",""
"08:16:20.658453","0x0000","0x330c",""
"08:16:20.683996","0x330c","0x0000",""
"08:16:20.729715","0x330c","0x0000",""
"08:16:22.604775","0x0000","0x330c",""
"08:16:22.658575","0x330c","0x0000",""
"08:19:26.380479","0x330c","0x0000",""
"08:19:26.422375","0x0000","0x330c",""
"08:19:26.468094","0x330c","0x0000",""
